image,breed_id,species,breed
havanese_42,13,dog,havanese
Russian_Blue_179,11,cat,Russian_Blue
miniature_pinscher_106,19,dog,miniature_pinscher
staffordshire_bull_terrier_60,30,dog,staffordshire_bull_terrier
wheaten_terrier_133,14,dog,wheaten_terrier
Sphynx_189,7,cat,Sphynx
american_bulldog_202,36,dog,american_bulldog
yorkshire_terrier_179,25,dog,yorkshire_terrier
miniature_pinscher_145,19,dog,miniature_pinscher
beagle_161,35,dog,beagle
japanese_chin_114,22,dog,japanese_chin
shiba_inu_10,20,dog,shiba_inu
english_setter_166,21,dog,english_setter
pomeranian_13,31,dog,pomeranian
samoyed_61,16,dog,samoyed
pug_56,27,dog,pug
american_pit_bull_terrier_193,26,dog,american_pit_bull_terrier
shiba_inu_161,20,dog,shiba_inu
wheaten_terrier_92,14,dog,wheaten_terrier
British_Shorthair_59,8,cat,British_Shorthair
miniature_pinscher_23,19,dog,miniature_pinscher
Bengal_198,9,cat,Bengal
english_cocker_spaniel_106,29,dog,english_cocker_spaniel
pomeranian_97,31,dog,pomeranian
Bengal_16,9,cat,Bengal
scottish_terrier_24,24,dog,scottish_terrier
wheaten_terrier_153,14,dog,wheaten_terrier
pomeranian_114,31,dog,pomeranian
shiba_inu_109,20,dog,shiba_inu
Abyssinian_119,6,cat,Abyssinian
great_pyrenees_129,12,dog,great_pyrenees
Persian_271,1,cat,Persian
British_Shorthair_178,8,cat,British_Shorthair
Russian_Blue_49,11,cat,Russian_Blue
japanese_chin_43,22,dog,japanese_chin
american_bulldog_217,36,dog,american_bulldog
japanese_chin_172,22,dog,japanese_chin
British_Shorthair_106,8,cat,British_Shorthair
Bengal_161,9,cat,Bengal
miniature_pinscher_15,19,dog,miniature_pinscher
great_pyrenees_35,12,dog,great_pyrenees
english_cocker_spaniel_128,29,dog,english_cocker_spaniel
japanese_chin_48,22,dog,japanese_chin
Bombay_105,3,cat,Bombay
leonberger_160,18,dog,leonberger
leonberger_6,18,dog,leonberger
Birman_164,10,cat,Birman
pug_200,27,dog,pug
american_bulldog_35,36,dog,american_bulldog
american_pit_bull_terrier_138,26,dog,american_pit_bull_terrier
american_pit_bull_terrier_192,26,dog,american_pit_bull_terrier
american_bulldog_11,36,dog,american_bulldog
Maine_Coon_133,4,cat,Maine_Coon
keeshond_147,28,dog,keeshond
havanese_199,13,dog,havanese
great_pyrenees_8,12,dog,great_pyrenees
beagle_186,35,dog,beagle
american_pit_bull_terrier_198,26,dog,american_pit_bull_terrier
saint_bernard_127,32,dog,saint_bernard
miniature_pinscher_64,19,dog,miniature_pinscher
boxer_72,17,dog,boxer
Abyssinian_21,6,cat,Abyssinian
pug_133,27,dog,pug
english_setter_122,21,dog,english_setter
leonberger_76,18,dog,leonberger
miniature_pinscher_188,19,dog,miniature_pinscher
english_cocker_spaniel_5,29,dog,english_cocker_spaniel
english_setter_95,21,dog,english_setter
keeshond_88,28,dog,keeshond
english_setter_191,21,dog,english_setter
pomeranian_15,31,dog,pomeranian
wheaten_terrier_173,14,dog,wheaten_terrier
British_Shorthair_134,8,cat,British_Shorthair
Maine_Coon_66,4,cat,Maine_Coon
staffordshire_bull_terrier_118,30,dog,staffordshire_bull_terrier
British_Shorthair_66,8,cat,British_Shorthair
Birman_179,10,cat,Birman
keeshond_195,28,dog,keeshond
yorkshire_terrier_41,25,dog,yorkshire_terrier
Birman_112,10,cat,Birman
chihuahua_113,23,dog,chihuahua
german_shorthaired_132,15,dog,german_shorthaired
english_cocker_spaniel_99,29,dog,english_cocker_spaniel
British_Shorthair_120,8,cat,British_Shorthair
havanese_156,13,dog,havanese
havanese_155,13,dog,havanese
Abyssinian_83,6,cat,Abyssinian
german_shorthaired_28,15,dog,german_shorthaired
great_pyrenees_127,12,dog,great_pyrenees
staffordshire_bull_terrier_72,30,dog,staffordshire_bull_terrier
miniature_pinscher_69,19,dog,miniature_pinscher
